Post Index,followers,upload time,Like Count,Comment Count,is Photo,is Video,hashtag,Pic Description
0,197000,2024-11-11T01:49:04.000Z,20000,90,0,1,"['#mukbang', '#drink', '#asmr', '#food', '#eating', '#foryou', '#tiktok', '#xuhuong', '#mukbangkorean', '#mukbangeatingshow', '#ancungtiktok', '#eating', '#viral', '#fyp', '#foodtiktok', '#foryoupage', '#mukbangeatingshowtiktok', '#mukbangkorea', '#Foodie', '#eatingsounds']",
1,13000,2024-10-23T13:45:06.000Z,204,3,0,1,"['#酥炸雞排', '#酥炸蝦排', '#花蓮', '#花蓮市', '#花蓮美食', '#花蓮簡餐', '#花蓮午餐', '#花蓮晚餐', '#大心吃花蓮', '#松園野餐', '#松園別館', '#美食', '#食記']",
2,40000,2024-10-29T08:01:08.000Z,10000,76,0,1,"['#情歌', '#内容过于真实']",
3,37000,2024-10-28T07:13:06.000Z,,0,1,0,"['#Band', '#Christmas', '#Concert', '#Fans', '#KTV', '#Live', '#Music', '#single', '#streaming', '#WhoCares', '#Zepp', '#專場', '#新單曲', '#演唱會', '#積憂谷', '#粉絲', '#聖誕', '#胡凱兒', '#菸癮', '#音樂', '#koha', '#kohataiwan', '#酷哈', '#酷哈潮流誌']",4 個人和文字的圖像.
4,57000,2024-10-15T12:01:08.000Z,675,15,1,0,"['#好Man啊', '#億萬駙馬', '#伍富橋', '#床照', '#出軌', '#星島頭條娛樂']",1 人和文字的圖像.
5,285000,2024-11-08T23:15:12.000Z,458000,403,0,1,[],
6,258000,2024-11-04T10:08:37.000Z,30000,77,1,0,['#hahababy_'],2 個人、嬰兒、尿布和文字的圖像.
7,6931,2024-09-15T11:20:05.000Z,78000,248,0,1,[],
8,114000,2024-10-07T14:38:21.000Z,22000,52,0,1,"['#馬克信箱', '#海豚', '#dolphins', '#人魚', '#戀愛']",
9,65000,2024-11-01T11:39:56.000Z,7110,63,0,1,"['#文末抽獎', '#Biore洗顏', '#必殺瞬間', '#我們都是Biore世代', '#Biore洗顏']",
10,1343000,2024-10-29T00:30:08.000Z,355000,287,0,1,"['#fish', '#fishing', '#sea']",
11,18000,2024-10-17T10:00:40.000Z,707,27,0,1,"['#花蓮美食', '#花蓮點心', '#花蓮下午茶', '#復興街石頭餅', '#石頭餅', '#土土吃花蓮', '#洄家', '#hualien', '#hualienfood']",
12,106000,2024-11-05T13:17:34.000Z,12000,62,0,1,"['#나이시', '#奶昔']",
13,12000,2024-11-02T09:12:56.000Z,7380,45,1,0,"['#迷因', '#梗圖', '#迷因梗', '#迷因梗圖', '#memes', '#梗圖分享', '#笑話', '#冷笑話', '#搞笑', '#搞笑影片', '#幽默語錄', '#轉', '#盧廣仲', '#歌手', '#肌肉', '#健身']",2 個人和顯示的文字是「 Muti 製圖/葉力琦 你要我刻在你心裡 還是墓碑上？ 」的圖像.
14,10000,2024-10-26T21:05:22.000Z,160000,100,0,1,"['#Karina', '#카리나', '#æspa', '#에스파', '#RelayDance']",
15,171000,2024-10-27T07:55:23.000Z,57000,568,0,1,[],
16,34000,2024-11-11T12:29:37.000Z,4304,6,1,0,[],6 個人、長髮和上衣的圖像.
17,40000,2024-10-29T08:01:08.000Z,10000,76,0,1,"['#情歌', '#内容过于真实']",
18,37000,2024-10-28T07:13:06.000Z,,0,1,0,"['#Band', '#Christmas', '#Concert', '#Fans', '#KTV', '#Live', '#Music', '#single', '#streaming', '#WhoCares', '#Zepp', '#專場', '#新單曲', '#演唱會', '#積憂谷', '#粉絲', '#聖誕', '#胡凱兒', '#菸癮', '#音樂', '#koha', '#kohataiwan', '#酷哈', '#酷哈潮流誌']",4 個人和文字的圖像.
19,57000,2024-10-15T12:01:08.000Z,675,15,1,0,"['#好Man啊', '#億萬駙馬', '#伍富橋', '#床照', '#出軌', '#星島頭條娛樂']",1 人和文字的圖像.
20,285000,2024-11-08T23:15:12.000Z,458000,720,0,1,[],
21,258000,2024-11-04T10:08:37.000Z,30000,77,1,0,['#hahababy_'],2 個人、嬰兒、尿布和文字的圖像.
22,6932,2024-09-15T11:20:05.000Z,78000,423,0,1,[],
23,114000,2024-10-07T14:38:21.000Z,22000,52,0,1,"['#馬克信箱', '#海豚', '#dolphins', '#人魚', '#戀愛']",
24,65000,2024-11-01T11:39:56.000Z,7110,63,0,1,"['#文末抽獎', '#Biore洗顏', '#必殺瞬間', '#我們都是Biore世代', '#Biore洗顏']",
25,1343000,2024-10-29T00:30:08.000Z,355000,490,0,1,"['#fish', '#fishing', '#sea']",
26,18000,2024-10-17T10:00:40.000Z,707,27,0,1,"['#花蓮美食', '#花蓮點心', '#花蓮下午茶', '#復興街石頭餅', '#石頭餅', '#土土吃花蓮', '#洄家', '#hualien', '#hualienfood']",
27,106000,2024-11-05T13:17:34.000Z,12000,62,0,1,"['#나이시', '#奶昔']",
