Post Index,followers,upload time,Like Count,Comment Count,is Photo,is Video,hashtag,Pic Description
249,7297,2024-10-31T01:52:19.000Z,23000,126,0,1,"['#愛情', '#失望', '#情感共鳴', '#情感', '#感情', '#愛情', '#喜歡', '#失戀', '#分手', '#放棄', '#暗戀', '#分別', '#喜歡一個人', '#回憶', '#語錄', '#愛情心理學', '#愛情', '#情感共鳴', '#語錄分享', '#情感語錄', '#傷心', '#抒發', '#愛而不得']",
250,1404000,2024-11-10T16:58:25.000Z,18000,871,0,1,"['#sea', '#powerofsea', '#fishing', '#fish']",
251,344000,2024-11-10T09:02:34.000Z,37000,216,0,1,[],
252,14000,2024-11-15T11:00:10.000Z,139,1,1,0,"['#戒指戴法', '#MINIYANG熱蠟除毛', '#台灣熱蠟第一品牌', '#熱蠟除毛', '#蜜蠟除毛', '#居家除毛首選', '#全台熱銷突破20萬組']",文字的圖像.
253,27000,2024-09-25T09:30:00.000Z,36000,22,0,1,[],
254,64000,2024-11-13T04:43:47.000Z,1811,16,1,0,"['#迷因', '#梗圖', '#迷因梗', '#迷因梗圖']",文字的圖像.
255,932000,2024-11-04T03:38:39.000Z,,649,0,1,[],
256,323,2024-10-18T11:39:09.000Z,90,0,1,0,"['#理想混蛋', '#阿哲', '#吉他手阿哲', '#郭哲成', '#理想混蛋七週年', '#打狗祭', '#頑強']",1 人、吉他、麥克風、音樂會和文字的圖像.
257,219000,2024-11-15T15:47:42.000Z,295,5,1,0,"['#vanlifebuilds', '#vanlife', '#outboundliving', '#vanconversion', '#tinyhome', '#vanclan', '#camperconversion', '#rvlife', '#camper', '#vanlifeideas', '#builtnotbought', '#livingvanlife', '#sprintervan', '#sprintercamper', '#vanlifemagazine', '#vanlifevirals', '#packthevan', '#projectvanlife', '#tinyhome', '#carpentry', '#woodwork', '#vandesign', '#smallspaces', '#vwcrafter', '#vanliferules']",
258,45000,2024-11-11T07:14:21.000Z,3302,48,0,1,"['#水晶', '#雙11', '#1111']",
259,6300,2024-10-24T10:33:49.000Z,213,16,1,0,[],足鍊的圖像.
260,215000,2024-11-08T05:10:08.000Z,288000,1161,0,1,"['#trendingsongs', '#sidsriramn', '#Telugusongslyrics', '#telugulovestatus', '#lovefail', '#lovefailiure', '#telugudubsmash', '#telugucomedy', '#telugujokes', '#telugumovie', '#telugubgm', '#telugumemes', '#telugucinema', '#telugulovesongs', '#telugusongslyrics']",
261,197000,2024-11-10T11:04:11.000Z,4,202,0,1,[],
262,74000,2024-11-03T13:59:47.000Z,2176,15,1,0,[],2 個人、毛髮、高領上衣和文字的圖像.
263,468000,2024-10-17T09:06:28.000Z,43000,160,1,0,[],2 個人、報紙和文字的圖像.
264,7297,2024-10-31T01:52:19.000Z,23000,126,0,1,"['#愛情', '#失望', '#情感共鳴', '#情感', '#感情', '#愛情', '#喜歡', '#失戀', '#分手', '#放棄', '#暗戀', '#分別', '#喜歡一個人', '#回憶', '#語錄', '#愛情心理學', '#愛情', '#情感共鳴', '#語錄分享', '#情感語錄', '#傷心', '#抒發', '#愛而不得']",
265,1404000,2024-11-10T16:58:25.000Z,18000,871,0,1,"['#sea', '#powerofsea', '#fishing', '#fish']",
266,344000,2024-11-10T09:02:34.000Z,37000,216,0,1,[],
267,14000,2024-11-15T11:00:10.000Z,139,1,1,0,"['#戒指戴法', '#MINIYANG熱蠟除毛', '#台灣熱蠟第一品牌', '#熱蠟除毛', '#蜜蠟除毛', '#居家除毛首選', '#全台熱銷突破20萬組']",文字的圖像.
268,27000,2024-09-25T09:30:00.000Z,36000,22,0,1,[],
269,64000,2024-11-13T04:43:47.000Z,1811,16,1,0,"['#迷因', '#梗圖', '#迷因梗', '#迷因梗圖']",文字的圖像.
270,932000,2024-11-04T03:38:39.000Z,,649,0,1,[],
271,323,2024-10-18T11:39:09.000Z,90,0,1,0,"['#理想混蛋', '#阿哲', '#吉他手阿哲', '#郭哲成', '#理想混蛋七週年', '#打狗祭', '#頑強']",1 人、吉他、麥克風、音樂會和文字的圖像.
272,219000,2024-11-15T15:47:42.000Z,295,5,1,0,"['#vanlifebuilds', '#vanlife', '#outboundliving', '#vanconversion', '#tinyhome', '#vanclan', '#camperconversion', '#rvlife', '#camper', '#vanlifeideas', '#builtnotbought', '#livingvanlife', '#sprintervan', '#sprintercamper', '#vanlifemagazine', '#vanlifevirals', '#packthevan', '#projectvanlife', '#tinyhome', '#carpentry', '#woodwork', '#vandesign', '#smallspaces', '#vwcrafter', '#vanliferules']",
273,45000,2024-11-11T07:14:21.000Z,3302,48,0,1,"['#水晶', '#雙11', '#1111']",
274,6300,2024-10-24T10:33:49.000Z,213,16,1,0,[],足鍊的圖像.
275,215000,2024-11-08T05:10:08.000Z,288000,1161,0,1,"['#trendingsongs', '#sidsriramn', '#Telugusongslyrics', '#telugulovestatus', '#lovefail', '#lovefailiure', '#telugudubsmash', '#telugucomedy', '#telugujokes', '#telugumovie', '#telugubgm', '#telugumemes', '#telugucinema', '#telugulovesongs', '#telugusongslyrics']",
276,197000,2024-11-10T11:04:11.000Z,4,202,0,1,[],
277,74000,2024-11-03T13:59:47.000Z,2176,15,1,0,[],2 個人、毛髮、高領上衣和文字的圖像.
278,468000,2024-10-17T09:06:28.000Z,43000,160,1,0,[],2 個人、報紙和文字的圖像.
279,7297,2024-10-31T01:52:19.000Z,23000,126,0,1,"['#愛情', '#失望', '#情感共鳴', '#情感', '#感情', '#愛情', '#喜歡', '#失戀', '#分手', '#放棄', '#暗戀', '#分別', '#喜歡一個人', '#回憶', '#語錄', '#愛情心理學', '#愛情', '#情感共鳴', '#語錄分享', '#情感語錄', '#傷心', '#抒發', '#愛而不得']",
280,1404000,2024-11-10T16:58:25.000Z,18000,871,0,1,"['#sea', '#powerofsea', '#fishing', '#fish']",
281,344000,2024-11-10T09:02:34.000Z,37000,216,0,1,[],
282,14000,2024-11-15T11:00:10.000Z,139,1,1,0,"['#戒指戴法', '#MINIYANG熱蠟除毛', '#台灣熱蠟第一品牌', '#熱蠟除毛', '#蜜蠟除毛', '#居家除毛首選', '#全台熱銷突破20萬組']",文字的圖像.
283,27000,2024-09-25T09:30:00.000Z,36000,22,0,1,[],
284,64000,2024-11-13T04:43:47.000Z,1811,16,1,0,"['#迷因', '#梗圖', '#迷因梗', '#迷因梗圖']",文字的圖像.
285,932000,2024-11-04T03:38:39.000Z,,649,0,1,[],
286,323,2024-10-18T11:39:09.000Z,90,0,1,0,"['#理想混蛋', '#阿哲', '#吉他手阿哲', '#郭哲成', '#理想混蛋七週年', '#打狗祭', '#頑強']",1 人、吉他、麥克風、音樂會和文字的圖像.
287,219000,2024-11-15T15:47:42.000Z,295,5,1,0,"['#vanlifebuilds', '#vanlife', '#outboundliving', '#vanconversion', '#tinyhome', '#vanclan', '#camperconversion', '#rvlife', '#camper', '#vanlifeideas', '#builtnotbought', '#livingvanlife', '#sprintervan', '#sprintercamper', '#vanlifemagazine', '#vanlifevirals', '#packthevan', '#projectvanlife', '#tinyhome', '#carpentry', '#woodwork', '#vandesign', '#smallspaces', '#vwcrafter', '#vanliferules']",
288,45000,2024-11-11T07:14:21.000Z,3302,48,0,1,"['#水晶', '#雙11', '#1111']",
289,6300,2024-10-24T10:33:49.000Z,213,16,1,0,[],足鍊的圖像.
290,215000,2024-11-08T05:10:08.000Z,288000,1161,0,1,"['#trendingsongs', '#sidsriramn', '#Telugusongslyrics', '#telugulovestatus', '#lovefail', '#lovefailiure', '#telugudubsmash', '#telugucomedy', '#telugujokes', '#telugumovie', '#telugubgm', '#telugumemes', '#telugucinema', '#telugulovesongs', '#telugusongslyrics']",
291,197000,2024-11-10T11:04:11.000Z,4,202,0,1,[],
292,74000,2024-11-03T13:59:47.000Z,2176,15,1,0,[],2 個人、毛髮、高領上衣和文字的圖像.
293,468000,2024-10-17T09:06:28.000Z,43000,160,1,0,[],2 個人、報紙和文字的圖像.
294,7297,2024-10-31T01:52:19.000Z,23000,126,0,1,"['#愛情', '#失望', '#情感共鳴', '#情感', '#感情', '#愛情', '#喜歡', '#失戀', '#分手', '#放棄', '#暗戀', '#分別', '#喜歡一個人', '#回憶', '#語錄', '#愛情心理學', '#愛情', '#情感共鳴', '#語錄分享', '#情感語錄', '#傷心', '#抒發', '#愛而不得']",
295,1404000,2024-11-10T16:58:25.000Z,18000,871,0,1,"['#sea', '#powerofsea', '#fishing', '#fish']",
296,344000,2024-11-10T09:02:34.000Z,37000,216,0,1,[],
297,14000,2024-11-15T11:00:10.000Z,139,1,1,0,"['#戒指戴法', '#MINIYANG熱蠟除毛', '#台灣熱蠟第一品牌', '#熱蠟除毛', '#蜜蠟除毛', '#居家除毛首選', '#全台熱銷突破20萬組']",文字的圖像.
298,27000,2024-09-25T09:30:00.000Z,36000,22,0,1,[],
299,64000,2024-11-13T04:43:47.000Z,1811,16,1,0,"['#迷因', '#梗圖', '#迷因梗', '#迷因梗圖']",文字的圖像.
300,932000,2024-11-04T03:38:39.000Z,,649,0,1,[],
301,323,2024-10-18T11:39:09.000Z,90,0,1,0,"['#理想混蛋', '#阿哲', '#吉他手阿哲', '#郭哲成', '#理想混蛋七週年', '#打狗祭', '#頑強']",1 人、吉他、麥克風、音樂會和文字的圖像.
302,219000,2024-11-15T15:47:42.000Z,295,5,1,0,"['#vanlifebuilds', '#vanlife', '#outboundliving', '#vanconversion', '#tinyhome', '#vanclan', '#camperconversion', '#rvlife', '#camper', '#vanlifeideas', '#builtnotbought', '#livingvanlife', '#sprintervan', '#sprintercamper', '#vanlifemagazine', '#vanlifevirals', '#packthevan', '#projectvanlife', '#tinyhome', '#carpentry', '#woodwork', '#vandesign', '#smallspaces', '#vwcrafter', '#vanliferules']",
303,45000,2024-11-11T07:14:21.000Z,3302,48,0,1,"['#水晶', '#雙11', '#1111']",
304,6300,2024-10-24T10:33:49.000Z,213,16,1,0,[],足鍊的圖像.
305,215000,2024-11-08T05:10:08.000Z,288000,1161,0,1,"['#trendingsongs', '#sidsriramn', '#Telugusongslyrics', '#telugulovestatus', '#lovefail', '#lovefailiure', '#telugudubsmash', '#telugucomedy', '#telugujokes', '#telugumovie', '#telugubgm', '#telugumemes', '#telugucinema', '#telugulovesongs', '#telugusongslyrics']",
306,197000,2024-11-10T11:04:11.000Z,4,202,0,1,[],
307,74000,2024-11-03T13:59:47.000Z,2176,15,1,0,[],2 個人、毛髮、高領上衣和文字的圖像.
308,468000,2024-10-17T09:06:28.000Z,43000,160,1,0,[],2 個人、報紙和文字的圖像.
309,7298,2024-10-31T01:52:19.000Z,23000,126,0,1,"['#愛情', '#失望', '#情感共鳴', '#情感', '#感情', '#愛情', '#喜歡', '#失戀', '#分手', '#放棄', '#暗戀', '#分別', '#喜歡一個人', '#回憶', '#語錄', '#愛情心理學', '#愛情', '#情感共鳴', '#語錄分享', '#情感語錄', '#傷心', '#抒發', '#愛而不得']",
310,1404000,2024-11-10T16:58:25.000Z,18000,871,0,1,"['#sea', '#powerofsea', '#fishing', '#fish']",
311,344000,2024-11-10T09:02:34.000Z,37000,216,0,1,[],
312,14000,2024-11-15T11:00:10.000Z,139,1,1,0,"['#戒指戴法', '#MINIYANG熱蠟除毛', '#台灣熱蠟第一品牌', '#熱蠟除毛', '#蜜蠟除毛', '#居家除毛首選', '#全台熱銷突破20萬組']",文字的圖像.
313,27000,2024-09-25T09:30:00.000Z,36000,22,0,1,[],
314,64000,2024-11-13T04:43:47.000Z,1811,16,1,0,"['#迷因', '#梗圖', '#迷因梗', '#迷因梗圖']",文字的圖像.
315,932000,2024-11-04T03:38:39.000Z,,649,0,1,[],
316,323,2024-10-18T11:39:09.000Z,90,0,1,0,"['#理想混蛋', '#阿哲', '#吉他手阿哲', '#郭哲成', '#理想混蛋七週年', '#打狗祭', '#頑強']",1 人、吉他、麥克風、音樂會和文字的圖像.
317,219000,2024-11-15T15:47:42.000Z,295,5,1,0,"['#vanlifebuilds', '#vanlife', '#outboundliving', '#vanconversion', '#tinyhome', '#vanclan', '#camperconversion', '#rvlife', '#camper', '#vanlifeideas', '#builtnotbought', '#livingvanlife', '#sprintervan', '#sprintercamper', '#vanlifemagazine', '#vanlifevirals', '#packthevan', '#projectvanlife', '#tinyhome', '#carpentry', '#woodwork', '#vandesign', '#smallspaces', '#vwcrafter', '#vanliferules']",
318,45000,2024-11-11T07:14:21.000Z,3302,48,0,1,"['#水晶', '#雙11', '#1111']",
319,6300,2024-10-24T10:33:49.000Z,213,16,1,0,[],足鍊的圖像.
320,215000,2024-11-08T05:10:08.000Z,288000,1161,0,1,"['#trendingsongs', '#sidsriramn', '#Telugusongslyrics', '#telugulovestatus', '#lovefail', '#lovefailiure', '#telugudubsmash', '#telugucomedy', '#telugujokes', '#telugumovie', '#telugubgm', '#telugumemes', '#telugucinema', '#telugulovesongs', '#telugusongslyrics']",
321,197000,2024-11-10T11:04:11.000Z,4,202,0,1,[],
322,74000,2024-11-03T13:59:47.000Z,2176,15,1,0,[],2 個人、毛髮、高領上衣和文字的圖像.
323,468000,2024-10-17T09:06:28.000Z,43000,160,1,0,[],2 個人、報紙和文字的圖像.
324,7300,2024-10-31T01:52:19.000Z,23000,126,0,1,"['#愛情', '#失望', '#情感共鳴', '#情感', '#感情', '#愛情', '#喜歡', '#失戀', '#分手', '#放棄', '#暗戀', '#分別', '#喜歡一個人', '#回憶', '#語錄', '#愛情心理學', '#愛情', '#情感共鳴', '#語錄分享', '#情感語錄', '#傷心', '#抒發', '#愛而不得']",
325,1404000,2024-11-10T16:58:25.000Z,18000,871,0,1,"['#sea', '#powerofsea', '#fishing', '#fish']",
326,344000,2024-11-10T09:02:34.000Z,37000,216,0,1,[],
327,14000,2024-11-15T11:00:10.000Z,139,1,1,0,"['#戒指戴法', '#MINIYANG熱蠟除毛', '#台灣熱蠟第一品牌', '#熱蠟除毛', '#蜜蠟除毛', '#居家除毛首選', '#全台熱銷突破20萬組']",文字的圖像.
328,27000,2024-09-25T09:30:00.000Z,36000,22,0,1,[],
329,64000,2024-11-13T04:43:47.000Z,1811,16,1,0,"['#迷因', '#梗圖', '#迷因梗', '#迷因梗圖']",文字的圖像.
330,932000,2024-11-04T03:38:39.000Z,,649,0,1,[],
331,323,2024-10-18T11:39:09.000Z,90,0,1,0,"['#理想混蛋', '#阿哲', '#吉他手阿哲', '#郭哲成', '#理想混蛋七週年', '#打狗祭', '#頑強']",1 人、吉他、麥克風、音樂會和文字的圖像.
332,219000,2024-11-15T15:47:42.000Z,295,5,1,0,"['#vanlifebuilds', '#vanlife', '#outboundliving', '#vanconversion', '#tinyhome', '#vanclan', '#camperconversion', '#rvlife', '#camper', '#vanlifeideas', '#builtnotbought', '#livingvanlife', '#sprintervan', '#sprintercamper', '#vanlifemagazine', '#vanlifevirals', '#packthevan', '#projectvanlife', '#tinyhome', '#carpentry', '#woodwork', '#vandesign', '#smallspaces', '#vwcrafter', '#vanliferules']",
333,45000,2024-11-11T07:14:21.000Z,3302,48,0,1,"['#水晶', '#雙11', '#1111']",
334,6300,2024-10-24T10:33:49.000Z,213,16,1,0,[],足鍊的圖像.
335,215000,2024-11-08T05:10:08.000Z,288000,1161,0,1,"['#trendingsongs', '#sidsriramn', '#Telugusongslyrics', '#telugulovestatus', '#lovefail', '#lovefailiure', '#telugudubsmash', '#telugucomedy', '#telugujokes', '#telugumovie', '#telugubgm', '#telugumemes', '#telugucinema', '#telugulovesongs', '#telugusongslyrics']",
336,197000,2024-11-10T11:04:11.000Z,4,202,0,1,[],
337,74000,2024-11-03T13:59:47.000Z,2176,15,1,0,[],2 個人、毛髮、高領上衣和文字的圖像.
338,468000,2024-10-17T09:06:28.000Z,43000,160,1,0,[],2 個人、報紙和文字的圖像.
339,7301,2024-10-31T01:52:19.000Z,23000,126,0,1,"['#愛情', '#失望', '#情感共鳴', '#情感', '#感情', '#愛情', '#喜歡', '#失戀', '#分手', '#放棄', '#暗戀', '#分別', '#喜歡一個人', '#回憶', '#語錄', '#愛情心理學', '#愛情', '#情感共鳴', '#語錄分享', '#情感語錄', '#傷心', '#抒發', '#愛而不得']",
340,1404000,2024-11-10T16:58:25.000Z,18000,871,0,1,"['#sea', '#powerofsea', '#fishing', '#fish']",
341,344000,2024-11-10T09:02:34.000Z,37000,216,0,1,[],
342,14000,2024-11-15T11:00:10.000Z,139,1,1,0,"['#戒指戴法', '#MINIYANG熱蠟除毛', '#台灣熱蠟第一品牌', '#熱蠟除毛', '#蜜蠟除毛', '#居家除毛首選', '#全台熱銷突破20萬組']",文字的圖像.
343,27000,2024-09-25T09:30:00.000Z,36000,22,0,1,[],
344,64000,2024-11-13T04:43:47.000Z,1811,16,1,0,"['#迷因', '#梗圖', '#迷因梗', '#迷因梗圖']",文字的圖像.
345,932000,2024-11-04T03:38:39.000Z,,649,0,1,[],
346,323,2024-10-18T11:39:09.000Z,90,0,1,0,"['#理想混蛋', '#阿哲', '#吉他手阿哲', '#郭哲成', '#理想混蛋七週年', '#打狗祭', '#頑強']",1 人、吉他、麥克風、音樂會和文字的圖像.
347,219000,2024-11-15T15:47:42.000Z,295,5,1,0,"['#vanlifebuilds', '#vanlife', '#outboundliving', '#vanconversion', '#tinyhome', '#vanclan', '#camperconversion', '#rvlife', '#camper', '#vanlifeideas', '#builtnotbought', '#livingvanlife', '#sprintervan', '#sprintercamper', '#vanlifemagazine', '#vanlifevirals', '#packthevan', '#projectvanlife', '#tinyhome', '#carpentry', '#woodwork', '#vandesign', '#smallspaces', '#vwcrafter', '#vanliferules']",
348,45000,2024-11-11T07:14:21.000Z,3302,48,0,1,"['#水晶', '#雙11', '#1111']",
349,6300,2024-10-24T10:33:49.000Z,213,16,1,0,[],足鍊的圖像.
350,215000,2024-11-08T05:10:08.000Z,288000,1161,0,1,"['#trendingsongs', '#sidsriramn', '#Telugusongslyrics', '#telugulovestatus', '#lovefail', '#lovefailiure', '#telugudubsmash', '#telugucomedy', '#telugujokes', '#telugumovie', '#telugubgm', '#telugumemes', '#telugucinema', '#telugulovesongs', '#telugusongslyrics']",
351,197000,2024-11-10T11:04:11.000Z,4,202,0,1,[],
352,74000,2024-11-03T13:59:47.000Z,2176,15,1,0,[],2 個人、毛髮、高領上衣和文字的圖像.
353,468000,2024-10-17T09:06:28.000Z,43000,160,1,0,[],2 個人、報紙和文字的圖像.
354,7301,2024-10-31T01:52:19.000Z,23000,126,0,1,"['#愛情', '#失望', '#情感共鳴', '#情感', '#感情', '#愛情', '#喜歡', '#失戀', '#分手', '#放棄', '#暗戀', '#分別', '#喜歡一個人', '#回憶', '#語錄', '#愛情心理學', '#愛情', '#情感共鳴', '#語錄分享', '#情感語錄', '#傷心', '#抒發', '#愛而不得']",
355,1404000,2024-11-10T16:58:25.000Z,18000,871,0,1,"['#sea', '#powerofsea', '#fishing', '#fish']",
356,344000,2024-11-10T09:02:34.000Z,37000,216,0,1,[],
357,14000,2024-11-15T11:00:10.000Z,139,1,1,0,"['#戒指戴法', '#MINIYANG熱蠟除毛', '#台灣熱蠟第一品牌', '#熱蠟除毛', '#蜜蠟除毛', '#居家除毛首選', '#全台熱銷突破20萬組']",文字的圖像.
358,27000,2024-09-25T09:30:00.000Z,36000,22,0,1,[],
