Post Index,followers,upload time,Like Count,Comment Count,is Photo,is Video,hashtag,Pic Description
0,667000,2024-10-17T07:41:22.000Z,3141000,192,0,1,"['#polarbear', '#icecream', '#aiart', '#artcommunity', '#cub', '#cutebear', '#art', '#polar', '#arctic', '#gelato']",
1,13000,2024-10-23T13:45:06.000Z,203,0,0,1,"['#酥炸雞排', '#酥炸蝦排', '#花蓮', '#花蓮市', '#花蓮美食', '#花蓮簡餐', '#花蓮午餐', '#花蓮晚餐', '#大心吃花蓮', '#松園野餐', '#松園別館', '#美食', '#食記']",
2,12000,2024-11-02T09:12:56.000Z,6817,0,1,0,"['#迷因', '#梗圖', '#迷因梗', '#迷因梗圖', '#memes', '#梗圖分享', '#笑話', '#冷笑話', '#搞笑', '#搞笑影片', '#幽默語錄', '#轉', '#盧廣仲', '#歌手', '#肌肉', '#健身']",2 個人和顯示的文字是「 Muti 製圖/葉力琦 你要我刻在你心裡 還是墓碑上？ 」的圖像.
3,18000,2024-10-17T10:00:40.000Z,703,0,0,1,"['#花蓮美食', '#花蓮點心', '#花蓮下午茶', '#復興街石頭餅', '#石頭餅', '#土土吃花蓮', '#洄家', '#hualien', '#hualienfood']",
4,338000,2024-11-10T09:02:34.000Z,32000,168,0,1,[],
5,868000,2024-11-06T14:01:17.000Z,59000,228,0,1,"['#Girhein', '#GeoEntertainment', '#HarPalGeo', '#GeoTV', '#7thSkyEntertainment', '#AbdullahKadwani', '#AsadQureshi', '#SaleemGhanchi', '#ImranNazir', '#HashaamKhan', '#SeharAfzal', '#HarisWaheed', '#BeenaChaudhry']",
6,55000,2024-10-30T14:14:57.000Z,4540,0,0,1,['#宋德鶴'],
7,36000,2024-11-06T13:02:31.000Z,15000,0,0,1,"['#嘉義阿婆', '#嘉義美食', '#故事', '#有趣', '#台灣美食', '#阿婆炸麻糬', '#阿婆炸粿', '#阿婆滷味', '#好吃又香阿婆滷味', '#嘉義景點', '#嘉義旅遊', '#嘉義旅遊推薦', '#嘉義人', '#溫暖', '#感動', '#嘉義', '#嘉義市', '#澤麼']",
8,73000,2024-11-11T07:01:07.000Z,1025,0,0,1,[],
9,62000,2024-09-10T13:37:55.000Z,11,0,0,1,"['#explorepage', '#foryou', '#reels', '#instareels', '#viralreels', '#comedyreels', '#funnyreels', '#friendship', '#jigriyaar', '#bff', '#instagram', '#trending', '#explorepage', '#instagood', '#reelsvideo', '#fypyes', '#quoteftheday', '#beautiful', '#new', '#trending', '#vairalvideo']",
0,1712000,2024-10-04T00:33:20.000Z,984000,1401,0,1,[],
1,102000,2024-10-14T00:18:05.000Z,4905,0,1,0,[],5 個人和圍裙的圖像.
2,13000,2024-10-23T13:45:06.000Z,203,0,0,1,"['#酥炸雞排', '#酥炸蝦排', '#花蓮', '#花蓮市', '#花蓮美食', '#花蓮簡餐', '#花蓮午餐', '#花蓮晚餐', '#大心吃花蓮', '#松園野餐', '#松園別館', '#美食', '#食記']",
3,12000,2024-11-02T09:12:56.000Z,6887,0,1,0,"['#迷因', '#梗圖', '#迷因梗', '#迷因梗圖', '#memes', '#梗圖分享', '#笑話', '#冷笑話', '#搞笑', '#搞笑影片', '#幽默語錄', '#轉', '#盧廣仲', '#歌手', '#肌肉', '#健身']",2 個人和顯示的文字是「 Muti 製圖/葉力琦 你要我刻在你心裡 還是墓碑上？ 」的圖像.
4,18000,2024-10-17T10:00:40.000Z,703,0,0,1,"['#花蓮美食', '#花蓮點心', '#花蓮下午茶', '#復興街石頭餅', '#石頭餅', '#土土吃花蓮', '#洄家', '#hualien', '#hualienfood']",
5,25680000,2024-11-04T14:34:20.000Z,50000,163,0,1,[],
6,338000,2024-11-10T09:02:34.000Z,32000,184,0,1,[],
7,30000,2024-11-08T10:18:17.000Z,4174,0,1,0,"['#lowiq01', '#lowiq01andtherhythmmakersplus', '#チャレンジ25', '#日比谷野外音楽堂', '#市川芸人']",2 個人、毛髮、連帽風衣、上衣和文字的圖像.
8,73000,2024-11-11T07:01:07.000Z,1026,0,0,1,[],
9,78000,2024-11-07T12:11:47.000Z,13000,0,0,1,[],
10,306000,2024-11-01T02:49:36.000Z,514000,205,0,1,"['#tiktok', '#viral', '#shortsvstiktok', '#youtubeshorts', '#maikalyt']",
0,2245000,2024-10-18T09:47:28.000Z,1960000,0,0,1,[],
0,335000,2024-10-21T05:51:00.000Z,394000,149,0,1,"['#buttabomma', '#alluarjun', '#poojahegde', '#dance', '#telugusongs', '#telgu']",
1,11000,2024-09-28T07:02:51.000Z,870,0,0,1,"['#花蓮早午餐', '#花蓮美食', '#花蓮咖啡廳', '#花蓮', '#花蓮早餐', '#花蓮下午茶']",
2,80000,2024-11-09T13:15:03.000Z,32000,355,0,1,"['#MEOWGENZ', '#反差', '#專情', '#帥哥', '#日本男生', '#顏值', '#狗奴', '#狗狗系', '#獵犬系', '#犬系', '#男生', '#男朋友', '#男神', '#三浦孝太', '#kotamiura', '#miurakota', '#格鬥系', '#老公', '#肌肉', '#腹肌', '#帥', '#handsome', '#japaneseboy', '#koreanboys', '#abs', '#muscleboy', '#mmafighter', '#爆紅']",
0,1295000,2024-10-21T05:53:16.000Z,2357000,334,0,1,"['#learnfromzeta', '#magic', '#reels']",
0,304000,2024-09-25T15:23:30.000Z,162000,162,0,1,[],
1,2348000,2024-11-11T18:56:50.000Z,16000,0,1,0,"['#BikoStar', '#MannaHero', '#TauLion', '#BKMN', '#BikosManna', '#AndMfundo']",1 人的圖像.
2,35000,2024-11-06T13:44:48.000Z,1958,0,1,0,[],1 人的圖像.
3,90000,2024-11-09T14:17:34.000Z,2925,0,1,0,[],1 人、機能運動服飾、運動褲、無袖背心、運動服裝和文字的圖像.
4,9122,2024-10-19T15:26:40.000Z,1434,0,0,1,"['#花蓮', '#花蓮市', '#花蓮美食', '#美食', '#台灣美食', '#美食', '#花蓮旅行', '#旅行', '#花蓮景點', '#景點', '#花蓮餐廳', '#餐廳', '#花蓮旅遊', '#旅遊', '#台灣旅遊', '#台灣景點', '#花蓮小旅行', '#花蓮必吃', '#必吃', '#美食地圖', '#聚餐', '#家庭', '#情侶', '#學生', '#東華大學', '#慈濟大學', '#韓式', '#韓式料理', '#小菜']",
0,657000,2024-11-01T01:22:15.000Z,150000,291,0,1,[],
1,43000,2024-11-11T13:22:30.000Z,772,0,0,1,[],
2,39000,2024-10-29T12:55:57.000Z,,0,0,1,"['#台北', '#雙連美食', '#中山站美食', '#美食推薦', '#台北咖啡廳', '#中山咖啡廳', '#台北咖啡廳', '#中山美甲', '#中山美睫', '#中山甜點', '#中山區甜點', '#不限時咖啡廳', '#不限時', '#不限時咖啡', '#塔羅牌', '#塔羅牌運勢', '#大安美食', '#大安咖啡廳']",
0,281000,2024-11-08T23:15:12.000Z,402000,299,0,1,[],
0,1332000,2024-10-29T00:30:08.000Z,346000,220,0,1,"['#fish', '#fishing', '#sea']",
1,101000,2024-11-08T10:30:37.000Z,6706,0,0,1,"['#孔雀捲心餅', '#濃厚花生', '#濃厚草莓', '#孔雀', '#孔雀捲心餅', '#濃厚花生', '#濃厚草莓']",
2,298000,2024-11-12T10:33:37.000Z,2666,0,0,1,"['#影后', '#嚴藝文', '#女演員']",
3,4925,2024-11-08T05:07:11.000Z,22,0,0,1,"['#全家冰品', '#全家', '#全家美食', '#全家限定', '#全家甜點', '#超商優惠', '#超商飲料', '#超商美食', '#超商新品', '#超商甜點', '#超商冰品', '#買一送一', '#台中美食', '#台北美食', '#台南美食', '#甜點控', '#藍莓']",
0,930000,2024-10-26T03:58:08.000Z,,133,0,1,"['#love', '#couple', '#loveislove', '#loveforever', '#thoughtoftheday', '#thoughts', '#motivationalquotes', '#explore']",
1,219000,2024-11-06T17:10:03.000Z,270,0,1,0,"['#thisisvanlifeing', '#vanlifeproject', '#vanlife', '#vanlifer', '#vanlifestyle', '#vanlifediaries', '#vanconversion', '#vanlifemovement', '#sprintervanconversion', '#vanlifeuk', '#sprintervan', '#sprinterconversion', '#sprintervanlife', '#vanbuild', '#vanlifeeurope', '#campervan', '#enfurgomolamas', '#houseonwheels', '#kitchenideas', '#greenkitchen', '#tinyhouse', '#smallkitchen', '#smallbathroom', '#interior']",廂型車、公車和船屋的圖像.
2,4925,2024-11-11T07:14:03.000Z,46,0,0,1,"['#全家新品', '#全家美食', '#超商美食', '#超商限定', '#超商甜點', '#emina', '#零食控', '#全家甜點', '#全家限定', '#日本零食', '#全家限定', '#全台美食', '#起司', '#飲食控制', '#台中美食', '#桃園美食', '#台北美食']",
3,168000,2024-11-08T20:51:12.000Z,3630,0,1,0,[],1 人、吉他和文字的圖像.
4,11000,2024-11-08T10:12:34.000Z,155,0,0,1,"['#花蓮美食', '#嘟嘟in花蓮']",
5,254000,2024-09-24T13:56:33.000Z,773000,591,0,1,['#vikalsen7500'],
