iter	RMSE
161	0.7541358293
162	0.7535560875
163	0.7489804882
164	0.7473357802
165	0.7466107713
166	0.7459554722
167	0.7455030726
168	0.7448238295
169	0.7445460986
170	0.7433138353
171	0.7398287225
172	0.7392818494
173	0.73861691
174	0.7383477599
175	0.7378009836
176	0.7349839731
177	0.7341306913
178	0.7331115948
179	0.7327183332
180	0.7324573792
181	0.7321039275
182	0.7316281122
183	0.7307374971
184	0.7301549075
185	0.7294049871
186	0.7291597268
187	0.7285553046
188	0.7282009039
189	0.7274624209
190	0.7272220863
191	0.7268024508
192	0.726560164
193	0.7261304378
194	0.7257726281
195	0.7248794368
196	0.7243667934
197	0.7239410611
198	0.7228410256
199	0.7216416995
200	0.7210353857
201	0.72067083
202	0.7201429942
203	0.7195063076
204	0.7192493939
205	0.7189123712
206	0.7182900961
207	0.7177260141
208	0.7174916913
209	0.7172653944
210	0.7158735207
211	0.7153540462
212	0.7138467636
213	0.7132375259
214	0.7128945678
215	0.7126812266
216	0.711843722
217	0.7110513957
218	0.7103863604
219	0.7099385866
220	0.7097205459
221	0.7095067307
222	0.7091089304
223	0.7087803619
224	0.7085422113
225	0.7078645252
226	0.7074194414
227	0.7068948824
228	0.7063198141
229	0.7061141208
230	0.7056803551
231	0.704967204
232	0.7044565463
233	0.7042540013
234	0.704055873
235	0.7037399274
236	0.7022355488
237	0.7016604712
238	0.7014380715
239	0.7008278733
240	0.7004831429
241	0.6995918077
242	0.699222847
243	0.6987758149
244	0.6985480485
245	0.6981013021
246	0.6978310229
247	0.6975552132
248	0.6971995746
249	0.6969283467
250	0.6963282732
251	0.6961359987
252	0.6959466031
253	0.6957550762
254	0.6955493339
255	0.6944143608
256	0.694232321
257	0.694058751
258	0.6938802837
259	0.6937056235
260	0.6933553711
261	0.6931835545
262	0.6925827421
263	0.692138573
264	0.6917759503
265	0.6913597333
266	0.6911124447
267	0.6903224631
268	0.6900476422
269	0.6872802491
270	0.6868778013
271	0.685141677
272	0.6849298313
273	0.6844530179
274	0.6841117462
275	0.6836433606
276	0.6831885375
277	0.6830181632
278	0.6828472455
279	0.6823523998
280	0.6818995857
281	0.6815237726
282	0.6813392235
283	0.6809982267
284	0.6807303765
285	0.6804222139
286	0.6802553511
287	0.6800910898
288	0.6795443931
289	0.6793852978
290	0.6767597149
291	0.6765276335
292	0.6762181199
293	0.6760567444
294	0.6756374603
295	0.6749954388
296	0.6745459693
297	0.6741026451
298	0.6739437022
299	0.6736959584
300	0.6735186781
301	0.6727437696
302	0.6725594624
303	0.6722673981
304	0.6719394825
305	0.6716259744
306	0.6713634599
307	0.6711507633
308	0.6707571288
309	0.6704286937
310	0.6702153498
311	0.6696526913
312	0.6692465562
313	0.6689299596
314	0.6686415653
315	0.6684866754
316	0.6683384316
317	0.6681879603
318	0.667849349
319	0.6672484025
320	0.6669323173
321	0.6652828017
322	0.6650486893
323	0.6648995035
324	0.6647501852
325	0.6645607055
326	0.6641896303
327	0.6640359005
328	0.6638898457
329	0.6634484216
330	0.6629030142
331	0.6626798555
332	0.6623301817
333	0.6621410134
334	0.6620023447
335	0.6618568248
336	0.6617166426
337	0.6612982818
338	0.6611622787
339	0.660889176
340	0.6607481925
341	0.6605373622
342	0.6603800849
343	0.6601283516
344	0.6599224258
345	0.6597891566
346	0.6593355406
347	0.6590991134
348	0.6587341632
349	0.6583732431
350	0.6581794582
351	0.6579475716
352	0.6577600423
353	0.6554459143
354	0.6550872211
355	0.6549481354
356	0.6544490677
357	0.6541537498
358	0.6538034904
359	0.6536658318
360	0.6535102609
361	0.6533744431
362	0.6532400231
363	0.6529969901
364	0.6528409367
365	0.6525605237
366	0.6516449526
367	0.6514728808
368	0.6513181973
369	0.6511747421
370	0.6510201344
371	0.650630615
372	0.6498197227
373	0.6487445297
374	0.6472815077
375	0.6471579971
376	0.6467829804
377	0.6466220852
378	0.6464908754
379	0.6457559162
380	0.6455270643
381	0.6452453527
382	0.6449590312
383	0.6443152252
384	0.6441584454
385	0.6439881732
386	0.6434822067
387	0.6433365346
388	0.6432079424
389	0.6428789139
390	0.6427511938
391	0.6425616753
392	0.6424349002
393	0.6422934056
394	0.6420618503
395	0.6419358944
396	0.6416283678
397	0.6415036061
398	0.6412147534
399	0.640723825
400	0.6406064252
401	0.6402204565
402	0.6399380891
403	0.6396601269
404	0.6395270158
405	0.6389593841
406	0.638827614
407	0.6379167928
408	0.6373677458
409	0.6372613855
410	0.6370866978
411	0.6368347227
412	0.6367179479
413	0.6365486054
414	0.634443006
415	0.634164671
416	0.63403802
417	0.6337887695
418	0.633668883
419	0.6335551595
420	0.6332404553
421	0.6330970542
422	0.6329359579
423	0.6328153244
424	0.6320236781
425	0.6318938407
426	0.6315374691
427	0.6310627689
428	0.6309458721
429	0.6307146457
430	0.6305996867
431	0.6303377074
432	0.6299969409
433	0.6298841599
434	0.6297729584
435	0.629657047
436	0.6292548012
437	0.6281066149
438	0.6279448535
439	0.6276290811
440	0.6275147932
441	0.6273055207
442	0.6269632347
443	0.6263051592
444	0.6261426926
445	0.6259086635
446	0.6258063511
447	0.6256986096
448	0.6255340906
449	0.6249778548
450	0.6248669925
451	0.6246329784
452	0.6244255637
453	0.6240361461
454	0.6233940391
455	0.6232831346
456	0.6230601757
457	0.6229555378
458	0.6228484319
459	0.622599307
460	0.622416057
461	0.622113207
462	0.6217862686
463	0.6215163845
464	0.619907942
465	0.6198065176
466	0.6196593256
467	0.6193137162
468	0.6192059397
469	0.6184362939
470	0.618183525
471	0.6180791473
472	0.6178848583
473	0.6162237552
474	0.6161167979
475	0.6159583667
476	0.6157069629
477	0.615583873
478	0.6154786238
479	0.6153788718
480	0.6152207673
481	0.6151167727
482	0.6150138534
483	0.6141619813
484	0.6140594698
485	0.6139077338
486	0.6137428566
487	0.613648225
488	0.6134148888
489	0.61315637
490	0.6130599841
491	0.6127733046
492	0.6125945618
493	0.6122523803
494	0.6121514186
495	0.6120513308
496	0.611775291
497	0.6116851102
498	0.6115862807
499	0.6114931125
500	0.6113060288
501	0.6110563684
502	0.6109082434
503	0.6108174063
504	0.6106876605
505	0.6097241801
506	0.6096305505
507	0.6094034053
508	0.6093132533
509	0.6091373016
510	0.607370682
511	0.6072202751
512	0.6064030874
513	0.6052233979
514	0.6050011692
515	0.6049045308
516	0.6048102539
517	0.6046917636
518	0.6045330117
519	0.6043530132
520	0.6040945571
521	0.6040013193
522	0.6039065399
523	0.6037607614
524	0.6035939399
525	0.6034647654
526	0.6033752467
527	0.6019498213
528	0.6014954273
529	0.6013130246
530	0.6010656066
531	0.6009754686
532	0.600881721
533	0.6007843625
534	0.6002052601
535	0.5999251839
536	0.5996240793
537	0.5995420219
538	0.5994011624
539	0.5990471256
540	0.5988730691
541	0.5970902134
542	0.5970005844
543	0.5968687045
544	0.5963479429
545	0.5961818019
546	0.5959806071
547	0.5958881724
548	0.5955808141
549	0.5951011259
550	0.5950095413
551	0.5949155047
552	0.5947806337
553	0.5946828276
554	0.5945457146
555	0.5944533353
556	0.5942443303
557	0.5941545121
558	0.5940185878
559	0.5939268733
560	0.5938378868
561	0.5937562855
562	0.5936681432
563	0.5935282738
564	0.5932406501
565	0.5931534149
566	0.5929616387
567	0.592695999
568	0.5922459451
569	0.5920925678
570	0.5920064194
571	0.591252261
572	0.5910684619
573	0.5894757364
574	0.589306001
575	0.5892176361
576	0.589101543
577	0.5890151644
578	0.5888770954
579	0.5887909139
580	0.5885836448
581	0.5874127638
582	0.5873272272
583	0.5871863753
584	0.5870527321
585	0.5869704846
586	0.586885559
587	0.5867904986
588	0.5859418825
589	0.5858266043
590	0.5856698826
591	0.5855855257
592	0.5854288458
593	0.5853351479
594	0.5836355083
595	0.5834430263
596	0.58314632
597	0.5830654703
598	0.5826209878
599	0.5825375426
600	0.5824586982
601	0.5822168444
602	0.5821376567
603	0.5820181953
604	0.5814697877
605	0.5813894486
606	0.5811580209
607	0.5810166562
608	0.5807070678
609	0.5805971945
610	0.5803046211
611	0.5801364775
612	0.5799868269
613	0.5798699565
614	0.5797882189
615	0.5796051111
616	0.5791817639
617	0.5790948613
618	0.5790140976
619	0.5789343418
620	0.578858256
621	0.5787844457
622	0.5787049264
623	0.5785944877
624	0.5784844558
625	0.5784059862
626	0.5781541558
627	0.5780759322
628	0.5780039141
629	0.577819992
630	0.5777422844
631	0.5776695038
632	0.577396852
633	0.5772213048
634	0.5770552757
635	0.5768281973
636	0.5766201517
637	0.57652955
638	0.576210189
639	0.5759430004
640	0.5758737435
641	0.5757634159
642	0.5756905152
643	0.5756144725
644	0.5754875805
645	0.5743363728
646	0.5741413633
647	0.5739249885
648	0.5737155374
649	0.5736393885
650	0.5735215475
651	0.5734532227
652	0.5733205013
653	0.5732485012
654	0.5731337594
655	0.5728968697
656	0.5728280276
657	0.5727532791
658	0.5719163526
659	0.5718128207
660	0.5717456296
661	0.5708047536
662	0.5707352166
663	0.5705669237
664	0.5701928081
665	0.5701186026
666	0.5699970329
667	0.5699235486
668	0.5698494959
669	0.5697061445
670	0.5696362564
671	0.5693981627
672	0.5692288527
673	0.5691472418
674	0.5690025358
675	0.56886274
676	0.5687350678
677	0.5686367801
678	0.5685438742
679	0.5684585661
680	0.5683865717
681	0.5682744731
682	0.5680864683
683	0.5680210744
684	0.5668542552
685	0.5667880907
686	0.5666489599
687	0.5665440255
688	0.5664482374
689	0.5663781945
690	0.5662710386
691	0.5662032505
692	0.5660791317
693	0.5658351514
694	0.5657717733
695	0.5656665098
696	0.565598751
697	0.5654030743
698	0.5653347542
699	0.5652575242
700	0.5651129628
701	0.5649491691
702	0.5647257566
703	0.5646576769
704	0.5645066279
705	0.5644059611
706	0.5642560332
707	0.5641868707
708	0.5639353499
709	0.5638774056
710	0.5628588244
711	0.5627603992
712	0.5626035355
713	0.5620129756
714	0.5616117017
715	0.5615465272
716	0.5614789657
717	0.561412168
718	0.561156113
719	0.5609875689
720	0.5609196797
721	0.5608574299
722	0.5607241303
723	0.5600084636
724	0.5599470694
725	0.5598357811
726	0.5597700117
727	0.5596619141
728	0.5595948203
729	0.5595295832
730	0.5594634997
731	0.5594070196
732	0.5592572724
733	0.5590480937
734	0.5589326937
735	0.5588309963
736	0.5587713943
737	0.5586340623
738	0.5584983499
739	0.5582387301
740	0.5572800903
741	0.5572144828
742	0.5570961616
743	0.5569877995
744	0.5569140606
745	0.5568263438
746	0.5567079534
747	0.5566471526
748	0.5565823963
749	0.556508594
750	0.5564164395
751	0.5563092473
752	0.5561139683
753	0.5560542073
754	0.5556740567
755	0.5555448589
756	0.5554810949
757	0.5553344118
758	0.5551684485
759	0.5551105383
760	0.5550493678
761	0.5548965119
762	0.5548004296
763	0.5546869746
764	0.5546255196
765	0.554515851
766	0.5544562223
767	0.5543592378
768	0.5538368374
769	0.5537359921
770	0.5536778566
771	0.5535378958
772	0.5534497971
773	0.5523211483
774	0.5521755046
775	0.5519760055
776	0.5510973572
777	0.550593322
778	0.5499887002
779	0.5499121341
780	0.5498532975
781	0.549798636
782	0.549705812
783	0.549625207
784	0.549464277
785	0.5494039336
786	0.5487448925
787	0.5486606506
788	0.5486014385
789	0.5485448506
790	0.5483097022
791	0.5467043831
792	0.546435032
793	0.5462857401
794	0.5461271087
795	0.5460424054
796	0.5459302557
797	0.5458708274
798	0.545811309
799	0.5456449473
800	0.5455866198
801	0.5455332979
802	0.5454732164
803	0.5452155573
804	0.5450557268
805	0.5449957931
806	0.5449171328
807	0.544842361
808	0.5447850847
809	0.5447304039
810	0.5446757322
811	0.5445614193
812	0.544502411
813	0.5443969896
814	0.5436052399
815	0.5434081892
816	0.5433520707
817	0.543225565
818	0.5430935281
819	0.5430362096
820	0.5428250993
821	0.5427670493
822	0.5427168348
823	0.5426631949
824	0.5425318139
825	0.5424508346
826	0.5423208249
827	0.5420510704
828	0.5419784137
829	0.5419257824
830	0.5418236318
831	0.5417665579
832	0.5417097722
833	0.5416039305
834	0.5415501336
835	0.5414800208
836	0.5414264425
837	0.5412700546
838	0.5411816342
839	0.5411161759
840	0.5410602842
841	0.5410018982
842	0.5408250453
843	0.5407325069
844	0.5405544905
845	0.5403090132
846	0.5402285605
847	0.5401801732
848	0.540124862
849	0.5399726396
850	0.5398476783
851	0.5397687469
852	0.5396638638
853	0.5388328761
854	0.5387042995
855	0.5386487
856	0.5383893939
857	0.5382796344
858	0.5381907813
859	0.5381358076
860	0.5380699493
861	0.5376704623
862	0.5375701202
863	0.5375185968
864	0.5374639926
865	0.5373925319
866	0.5372207888
867	0.5370770423
868	0.53663517
869	0.5365858326
870	0.5363891248
871	0.5363351245
872	0.5362836921
873	0.5362192825
874	0.5361702386
875	0.5348082083
876	0.5347339573
877	0.5346824131
878	0.534634807
879	0.5345403705
880	0.5344102236
881	0.5343569382
882	0.5343067907
883	0.5341195903
884	0.5340434649
885	0.5338539568
886	0.533781704
887	0.5337282117
888	0.5335337731
889	0.533456187
890	0.5333931073
891	0.5332847767
892	0.5332159844
893	0.5331636966
894	0.533036079
895	0.5329753052
896	0.5329230496
897	0.5327138726
898	0.5326620473
899	0.5321830025
900	0.5319836026
901	0.5319318315
902	0.5318868188
903	0.5318192593
904	0.5317458987
905	0.5316675456
906	0.5314721789
907	0.5313780011
908	0.5313296004
909	0.5312646427
910	0.5312082776
911	0.5311173393
912	0.5310683895
913	0.5309837943
914	0.5308771169
915	0.5308265122
916	0.5307809724
917	0.5307308553
918	0.5304436573
919	0.5303744251
920	0.5302176133
921	0.5301475909
922	0.530002277
923	0.529954522
924	0.5299045319
925	0.5297875995
926	0.5297166168
927	0.5296685598
928	0.5290691116
929	0.5290179462
930	0.5289384679
931	0.5288427288
932	0.5287857908
933	0.5287279499
934	0.5286830341
935	0.5286442967
936	0.5285810674
937	0.5284180118
938	0.5279618432
939	0.5278365859
940	0.5277232598
941	0.5276596135
942	0.5275672667
943	0.5275243756
944	0.5274074811
945	0.5273182895
946	0.5272501596
947	0.5271849047
948	0.527054788
949	0.5270115186
950	0.5269562299
951	0.5268792799
952	0.526792021
953	0.5266885024
954	0.5266427544
955	0.5265794938
956	0.5261924292
957	0.5261385046
958	0.5260904871
959	0.5260454209
960	0.5257546318
961	0.5257090412
962	0.5256523466
963	0.5256082772
964	0.525425629
965	0.525377271
966	0.5253348672
967	0.5252908679
968	0.5252427413
969	0.5247197325
970	0.5246230746
971	0.5245741757
972	0.5244953419
973	0.5244266705
974	0.5243804157
975	0.5240163791
976	0.5239693016
977	0.5239214746
978	0.5238772255
979	0.5238310205
980	0.5237806737
981	0.5237177739
982	0.5236701923
983	0.523626214
984	0.5235597258
985	0.523433054
986	0.5233847331
987	0.5225119962
988	0.5224569351
989	0.5223754334
990	0.5223294248
991	0.5222845737
992	0.5222223843
993	0.5220380547
994	0.521996643
995	0.5219227127
996	0.521877023
997	0.521688674
998	0.5215305403
999	0.5213698071
